image_index,image_name,store_name,total_amount,processing_time
55,X51005621482.jpg,PREMIO STATIONERY SDN BHD,13.4,108.4353301525116
56,X51005663274.jpg,Lim Seng Tho Hardware Trading,10.5,110.25669121742249
57,X51005663300.jpg,Lim Seng Tho Hardware Trading,7.0,112.0260796546936
58,X51005663307.jpg,LA STATIONERY SDN BHD,56.8,113.92002081871033
59,X51005663309.jpg,Koh Seng Hardware,20.5,115.47685670852661
60,X51005663310.jpg,Lim Seng Tho Hardware Trading,7.92,117.2123486995697
61,X51005663323.jpg,Koh Seng Hardware,48.0,118.76406788825989
62,X51005675099.jpg,,,123.28433179855347
63,X51005675103.jpg,SYARIKAT PERIANGAAN GIN KEE,100.17,125.69278407096863
64,X51005675104.jpg,SYARIKAT PERNIAGAAN GIN KEE,190.8,128.13122367858887
65,X51005675914.jpg,Beyond Brothers Hardware,67.54,129.60713744163513
66,X51005676534.jpg,SYARIKAT PERNIAGAAN GIN KEE,,131.69343328475952
67,X51005676535.jpg,SYARIKAT PERNIAGAAN GIN KEE,84.0,134.03966355323792
68,X51005676537.jpg,SYARIKAT PERNIAGAAN GIN KEE,910.0,136.48995542526245
69,X51005676542.jpg,SYARIKAT PERNIAGAAN GIN KEE,10.0,138.85341262817383
70,X51005676548.jpg,SYARIKAT PERNIAGAAN GIN KEE,10.5,141.19892406463623
71,X51005677327.jpg,SYARIKAT PERNIAGAAN GIN KEE,0.0,143.49685215950012
72,X51005677333.jpg,SYARIKAT PERNIAGAAN GIN KEE,101.76,145.93341517448425
73,X51005677336.jpg,SYARIKAT PERNIAGAAN GIN KEE,22.26,148.27002334594727
74,X51005677337.jpg,SYARIKAT PERNIAGAAN GIN KEE,88.8,150.6975224018097
75,X510056849111.jpg,Western Eastern Stationery SDN BHD,,152.53058457374573
76,X51005684949.jpg,Western Eastern Stationery SDN BHD,,154.32131624221802
77,X51005705727.jpg,,,158.81041955947876
78,X51005705729.jpg,,,161.24049878120422
79,X51005705784.jpg,Edai Buku New Achievers,45.38,163.08316659927368
80,X51005710963.jpg,TI Tools Hardware & Backyard Guru,13.0,165.2573184967041
81,X51005711402.jpg,Restoran Wan Sheng,9.6,166.86107873916626
82,X51005711443.jpg,,,171.43749165534973
83,X51005711444.jpg,,,176.0886242389679
84,X51005711446.jpg,,,180.72955417633057
85,X51005711449.jpg,,,185.42125916481018
86,X51005715007.jpg,Kaison Furnishing,18.7,187.08619046211243
87,X51005715455.jpg,99 Speed Mart S/B,,189.01319313049316
88,X51005719823.jpg,AA Pharmacy,46.2,190.4171245098114
89,X51005719855.jpg,ROCKU YAKINIKU,181.55,192.37044835090637
90,X51005719857.jpg,,,196.9791910648346
91,X51005719863.jpg,Sen Lee Heong Restaurant,,198.72730445861816
92,X51005719888.jpg,,,203.2957057952881
93,X51005719889.jpg,HENG KEE DELIGHTS BAK KUT TEH,42.0,205.66111087799072
94,X51005719895.jpg,GREEN LANE PHARMACY SDN BHD,34.8,207.7975287437439
95,X51005719898.jpg,Kuchai SDN BHD,11.9,209.68401336669922
96,X51005719903.jpg,,0.48,211.4590458869934
97,X51005719905.jpg,,,216.02822732925415
98,X51005724552.jpg,KEDAI PAPAN YEW CHUAN,43800.0,218.20901799201965
99,X51005724611.jpg,KEDAI PAPAN YEW CHUAN,144.16,220.49470019340515
100,X51005724622.jpg,Kedai Papan Yew Chuan,86.0,222.86691117286682
101,X51005724623.jpg,KEDAH JAYATRA TRANSPORT,312.7,224.96156430244446
102,X51005724624.jpg,Kedai Papan Yew Chuan,135.68,227.07933020591736
103,X51005724625.jpg,KEDAI PAPAY YAN PENG CHUAN,28.0,229.5316984653473
104,X51005724626.jpg,KEDAI PAPAN YEW CHUAN,245.0,231.8537573814392
105,X51005724628.jpg,KEDAI PAPAN YEW CHUAN,43800.0,234.0722301006317
106,X51005741929.jpg,My Mydin Subang Bestari,1670.0,235.813458442688
107,X51005742110.jpg,YONG CEN ENTERPRISE,65.7,237.67745161056519
108,X51005745213.jpg,MUN HENG ELECTRICAL & HARDWARE SUPPLY,7.0,239.87626671791077
109,X51005745244.jpg,Subway #42210-0,,241.68163204193115
110,X51005745298.jpg,99 Speed Mart S/B,,243.55302739143372
111,X51005746203.jpg,PECANGARA BOMING SUPER SEVEN,1.0,246.26505589485168
112,X51005746204.jpg,BEMED (SP) SDN. BHD.,308.7,248.5567147731781
113,X51005746206.jpg,PANA JAYA ENTERPRISE,105.0,250.58182954788208
114,X51005746207.jpg,SUPER SEVEN CASH & CARRY SDN BHD,2.0,253.16883897781372
115,X51005746210.jpg,KRIE COOKING OIL 5KG,25.8,257.8202238082886
116,X51005749904.jpg,SWC Enterprise SDN BHD,4.0,259.60038352012634
117,X51005757233.jpg,Guardian Health And Beauty,9.0,261.1615650653839
118,X51005757282.jpg,TSH Power Hardware Trading,24.5,262.82390689849854
119,X51005757292.jpg,MR. D.I.Y.,,264.4994788169861
120,X51005757308.jpg,[name] Son Shio,,266.0110993385315
121,X51005757342.jpg,MR. D.I.Y. (M) SDN BHD,,268.48458671569824
122,X51005763958.jpg,Super Seven Cash & Carry Sdn Bhd,59.0,270.52063059806824
123,X51005763964.jpg,YONG CEN ENTERPRISE,65.7,272.43420481681824
124,X51005763999.jpg,SGDI CASH & CARRY STORE,19.0,274.4385735988617
125,X51005764031.jpg,Super Seven Cash & Carry Sdn Bhd,42.1,276.40147972106934
126,X51005764154.jpg,PANA JAYA ENTERPRISE,205.5,278.42125391960144
127,X51005764161.jpg,Speed Mart S/B,98.9,280.0276207923889
128,X51005806692.jpg,Great Zone Household Centre Sdn Bhd,307.3,282.09635877609253
129,X51005806695.jpg,Juwita Weddings,,283.81624460220337
130,X51005806696.jpg,Image Printec (M) SDN BHD,7.65,285.8922743797302
131,X51005806718.jpg,Hugo Trading Sdn Bhd,40.8,287.6657316684723
132,X51005806719.jpg,SATU KAMPUNG ENTERPRISE SDN BHD,63.0,289.9903824329376
133,X51005806720.jpg,SATU KAMPUNG ENTERPRISE SDN BHD,20.0,292.30704259872437
134,X51006008081.jpg,Print Expert SDN BHD,226.8,294.15324664115906
135,X51006008082.jpg,,,298.67385601997375
136,X51006008083.jpg,Print Expert SDN BHD,119.55,300.5332407951355
137,X51006008090.jpg,Empire Shopping Gallery,19.5,302.04600501060486
138,X51006008092.jpg,Popular Book Co.,5.18,304.1431291103363
139,X51006008093.jpg,Popular Book Co.,13.5,306.0692677497864
140,X51006008105.jpg,AEON TAMAN MALURI SC,,308.4319558143616
141,X51006008166.jpg,FLORISM DE ART,750.0,310.20758032798767
142,X51006008206.jpg,Burger King,,311.6814363002777
143,X51006248253.jpg,Dream Arts,,313.2036955356598
144,X51006311714.jpg,Guardian Health and Beauty Sdn Bhd,,315.14256477355957
145,X51006327953.jpg,Hei Let Restaurant,68.9,316.72202587127686
146,X51006327960.jpg,King's Confectionery Sdn Bhd,9.9,318.6649582386017
147,X51006328345.jpg,King's Confectionery S/B (KJ1),7.2,320.7545917034149
148,X51006328937.jpg,Xyves Pharmacy,0.69,322.24210143089294
149,X51006328967.jpg,Tanjongamas Book Centre,62.0,323.87911915779114
150,X51006329183.jpg,Semenitan Texas Son,27.0,325.5326533317566
151,X51006329388.jpg,BEMED (SP) SDN. BHD.,165.0,327.83097887039185
152,X51006332641.jpg,Yong Den Enterprise,19.1,329.34685134887695
153,X51006334139.jpg,Five Star Cash & Carry,90.0,331.0142412185669
154,X51006334742.jpg,The Cut Steakhouse Burgers,167.55,332.8615221977234
155,X51006334766.jpg,MEI LET RESTAURANT,56.05,334.68962931632996
156,X51006334770.jpg,SYD STATIONERY,1.4,336.284720659256
157,X51006334819.jpg,BERMED (SP) SDN. BHD.,203.0,338.59822392463684
158,X51006334927.jpg,Caltex,,340.0190751552582
159,X51006335818.jpg,Segi Cash & Carry Sdn.Bhd.,27.0,342.0565540790558
160,X51006349081.jpg,C W KHOO HARDWARE SDN BHD,84.8,344.14528703689575
161,X51006349083.jpg,CHI FOR TEA,43.85,345.8736951351166
162,X51006349085.jpg,PLATINUM RACKING SDN BHD,23.0,348.06225633621216
163,X51006350737.jpg,C W KHOO HARDWARE SDN BHD,14.65,350.1627643108368
164,X51006387660.jpg,TANTONGHONG BOOK CENTRE (P) LTD,4.3,352.3864321708679
165,X51006387737.jpg,BEMED (SP) SDN. BHD.,165.0,354.6589124202728
166,X51006387931.jpg,,,357.9773395061493
167,X51006387950.jpg,,,360.43745970726013
168,X51006387973.jpg,Golden Apple Restaurants Sdn Bhd,41.95,362.3026340007782
169,X51006388068.jpg,Syl Gul Cash & Carry,10.42,364.0405225753784
170,X51006388081.jpg,King's Confectionery S/B,27.5,365.85439229011536
171,X51006388089.jpg,Yong Gen Enterprise,108.0,367.4689311981201
172,X51006389894.jpg,King's Confectionery,70.0,369.13590931892395
173,X51006389898.jpg,,,373.7658998966217
174,X51006392167.jpg,Anaka Intertrade Marketing Sdn Bhd,23.8,375.80452728271484
175,X51006401845.jpg,Buy Sell Trade Sdn. Bhd.,26.9,377.762686252594
176,X51006401853.jpg,99 Speed Mart S/B,,379.34527564048767
177,X51006401977.jpg,,,382.3504321575165
178,X51006414425.jpg,LUNHAWA INTERNATIONAL SDN BHD,6.6,385.0800561904907
179,X51006414427.jpg,UNIHAKAYA INTERNATIONAL SDN BHD,1.1,387.8234362602234
180,X51006414433.jpg,LINHAKKA INTERNATIONAL SDN BHD,10.0,390.5452947616577
181,X51006414512.jpg,,,395.81877994537354
182,X51006414532.jpg,,,401.019807100296
183,X51006414593.jpg,UNIHAKKA INTERNATIONAL SDN BHD,0.0,403.6546092033386
184,X51006414600.jpg,[name],,405.5130310058594
185,X51006414702.jpg,,,410.7153832912445
186,X51006414708.jpg,Restoran Hwa Mui Sutera Son Bhd,91.5,413.72106528282166
187,X51006414715.jpg,ADDIS,16.0,415.8401131629944
188,X51006414717.jpg,Aeon Taman Universiti,10.0,418.4013376235962
189,X51006414728.jpg,Kek Span,13.0,420.6162967681885
190,X51006438346.jpg,[name],,421.8838949203491
191,X51006466070.jpg,Western Eastern Stationery SDN. BHD,,423.87820839881897
192,X51006502534.jpg,FamilyMart,5.47,425.16489481925964
193,X51006502540.jpg,Gerbang Alaf Restaurants Sdn Bhd,6.17,427.0881493091583
194,X51006554841.jpg,NSK Trade City-Selayang,,428.8351037502289
195,X51006555819.jpg,Gardenia Bakeries,26.58,430.3926956653595
196,X51006555833.jpg,Gardenia Bakersies SDN BHD,1.0,432.4149580001831
197,X51006555835.jpg,Gardenia Bakers (KL) SDN BHD,37.9,434.5864746570587
198,X51006556610.jpg,,,436.40992498397827
199,X51006556648.jpg,Gardenia Bakeries (KL),55.14,438.1600136756897
200,X51006556654.jpg,GARDENIA BAKERIES,1.0,440.4933280944824
201,X51006556657.jpg,Gardenia Bakeries (KL) SDN BHD,59.31,442.71011185646057
202,X51006556658.jpg,Gardinia Bakers (KL) SDN BHD,32.13,444.894202709198
203,X51006556723.jpg,Gardenia Bakeries (KL) SDN BHD,,447.0157537460327
204,X51006556728.jpg,Gardenia Bakeries Sdn Bhd,60.26,448.95341992378235
205,X51006556734.jpg,Gardenia Bakers (KL),32.46,450.7142901420593
206,X51006556740.jpg,Gardenia Bakeries (KL) SDN BHD,23.35,452.96080708503723
207,X51006556806.jpg,Gardenia Bakers (Kl) Sdn Bhd,14.47,455.252224445343
208,X51006556808.jpg,Gardenia Bakers (Kl) Sdn Bhd,79.26,457.53922748565674
209,X51006556809.jpg,Gardenia Bakers SDN BHD,43.36,459.46056509017944
210,X51006556810.jpg,Gardenia Bakeries (K) SDN BHD,23.02,461.68812084198
211,X51006556812.jpg,Gardinia Bakers,25.84,463.26453709602356
212,X51006556821.jpg,Gardenia Bakers,37.89,464.8549520969391
213,X51006556826.jpg,Gardenia Bakers (Kl) Sdn Bhd,28.98,467.1414577960968
214,X51006556827.jpg,Gardenia Bakersies (Kl) Sdn Bhd,53.96,469.5270256996155
215,X51006556829.jpg,Gardenia Bakers (KJ) SDN BHD,38.55,471.8379008769989
216,X51006556851.jpg,Gardenia Bakers,84.78,473.4224352836609
217,X51006556865.jpg,Gardenia Bakers (KLU SDN BHD),62.82,475.5991439819336
218,X51006557115.jpg,Gardenia Bakersies (Kl) Sdn Bhd,35.58,477.97817969322205
219,X51006557169.jpg,Gardenia Bakeries (KL) SDN BHD,5.0,480.112517118454
220,X51006557173.jpg,Gardena Bakers (Kl) Sdn Bhd,32.26,482.4055275917053
221,X51006557187.jpg,Gardenia Bakers (Kl),42.25,484.2596025466919
222,X51006557194.jpg,Gardenia Bakers SDN BHD,39.77,486.19032859802246
223,X51006557196.jpg,GARDENIA BAKERIES (KL) SDN BHD,27.1,488.6515791416168
224,X51006557208.jpg,Gardena Bakeries (KL),32.12,490.4091730117798
225,X51006557209.jpg,Gardenia Bakeries (KL) SDN BHD,33.84,492.6080060005188
226,X51006557507.jpg,Gardenia Bakeries (KL) SDN BHD,35.88,494.78425908088684
227,X51006619328.jpg,Yin Ma,5.4,496.0987911224365
228,X51006619338.jpg,99 Speed Mart S/B,262.2,498.015860080719
229,X51006619346.jpg,Sun Malaysia,5.0,499.40554666519165
230,X51006619503.jpg,KEDAI UBAT & RUNCIT HONG NING SDN. BHD.,2.83,502.1498589515686
231,X51006619506.jpg,,,506.74084544181824
232,X51006619507.jpg,Golden Arches Restaurants Sdn Bhd,0.83,508.59660172462463
233,X51006619509.jpg,GUIDANG HASTIL RESTAURANT SDN BHD,,510.9790222644806
234,X51006619564.jpg,99 SPEED MART S/S,84.02,512.8437914848328
235,X51006619567.jpg,Kedai Ubat & Runcit Hong Ning Sdn. Bhd.,637.73,515.6242389678955
236,X51006619569.jpg,[name],,516.7626459598541
237,X51006619570.jpg,SUNE SDN BHD,17.5,518.5085418224335
238,X51006619700.jpg,D.I.Y. (KUCHAI) SDN BHD,,520.8846192359924
239,X51006619703.jpg,[name],,522.066906452179
240,X51006619704.jpg,SELAYANG MALL,22.6,523.7169060707092
241,X51006619757.jpg,99 SPEED HART /S/B (519537-X),,526.1644296646118
242,X51006619760.jpg,KEDAI UBAT & RUNCIT HONG NING SDN. BHD.,17.2,529.0045256614685
243,X51006619764.jpg,Kawanaw Perindustrian Balingoke,,531.2182011604309
244,X51006619766.jpg,[name],,532.3874962329865
245,X51006619779.jpg,Yam Fresh,,533.747052192688
246,X51006619784.jpg,BIZ LINK,399.0,535.3559191226959
247,X51006619790.jpg,Yin Ma,14.5,536.7742059230804
248,X51006619842.jpg,YIN MA (H) SDN.BHD.,32.7,538.9066858291626
249,X51006619863.jpg,99 Speed Kart S/B,,540.7099401950836
250,X51006619869.jpg,HOME'S HARMONY @ 1 UTAMA SHOPPING CENTRE,23.2,543.213109254837
251,X51006620175.jpg,D.I.Y. (M) Sun Bhd,,545.3799467086792
252,X51006620182.jpg,Win Soon Cafe,76.5,546.8585767745972
253,X51006620192.jpg,HOME'S HARMONY @ UTAMA SHOPPING CENTRE,8.8,549.0510034561157
254,X51006620437.jpg,99 Speed Mart S/B,,551.0036768913269
255,X51006647933.jpg,Dns Bpos,,552.3302419185638
256,X51006647984.jpg,Kechara Vegetarian Oasis,64.5,554.069611787796
257,X51006733495.jpg,99 Speed Mart S/B,,556.0126459598541
258,X51006828199.jpg,[name],,557.1655986309052
259,X51006828200.jpg,[name],,558.3228960037231
260,X51006828201.jpg,The Coffee Bean & Tea Leaf,39.7,560.0629391670227
261,X51006856982.jpg,Guardian Health and Beauty Sdn Bhd,182.99,562.1099019050598
262,X51006857126.jpg,SKL DAMANSARA ENTERPRISE,28.8,564.074126958847
263,X51006857132.jpg,AEON CO. (M) SDN BHD,23.8,566.2911896705627
264,X51006857137.jpg,99 Speed Mart S/B,,568.14524269104
265,X51006857540.jpg,,,569.3004443645477
266,X51006912959.jpg,,,574.5676271915436
267,X51006912976.jpg,,,576.5101933479309
268,X51006912998.jpg,B-Petrol,50.0,578.7455587387085
269,X51006913018.jpg,Aeon,2.0,581.1008520126343
270,X51006913032.jpg,[name],,582.9741678237915
271,X51006913060.jpg,[name],,584.7972626686096
272,X51006913061.jpg,URHANAKA INTERNATIONAL SOHO,94.0,587.3874742984772
273,X51007103597.jpg,,,589.8298141956329
274,X51007103610.jpg,MR. D.I.Y. (M) SDN BHD,,592.2801988124847
275,X51007103649.jpg,D.I.Y. (M) SDN BHD,,594.5886807441711
276,X51007103668.jpg,MR. D.I.Y. (M) SDN BHD,1.0,597.2121109962463
277,X51007103687.jpg,[name] (DI.Y. M SDN BHD),,599.2661321163177
278,X51007225406.jpg,Unipharm Pharmacy,24.9,600.8808977603912
279,X51007231274.jpg,[name],,602.6892473697662
280,X51007231275.jpg,UNIHAKKA INTERNATIONAL SDN BHD,86.0,605.3254702091217
281,X51007231276.jpg,[name],,607.0968647003174
282,X51007231331.jpg,[name],,608.8885600566864
283,X51007231341.jpg,[name],,610.6749732494354
284,X51007231343.jpg,[name],,612.5130906105042
285,X51007231346.jpg,[name],,614.3308165073395
286,X51007231364.jpg,Gerbang Alf Resturants,132.0,616.5866985321045
287,X51007231372.jpg,Global Food Bar,38.35,618.8541452884674
288,X51007339105.jpg,Sanyu Stationery Shop,,620.3181228637695
289,X51007339109.jpg,Sanyu Stationery Shop,10.0,622.077760219574
290,X51007339116.jpg,Sanyu Stationery Shop,21.9,623.8125972747803
291,X51007339119.jpg,Sanyu Stationery Shop,,625.2963719367981
292,X51007339121.jpg,,,627.9395399093628
293,X51007339122.jpg,Sanyu Stationery Shop,8.7,629.6278431415558
294,X51007339125.jpg,Sanyu Stationery Shop,8.7,631.3016176223755
295,X51007339127.jpg,Sanyu Stationery Shop,,632.8184249401093
296,X51007339134.jpg,Sanyu Stationery Shop,8.7,634.5046310424805
297,X51007339159.jpg,Sanyu Stationery Shop,10.0,636.2774670124054
298,X51007339160.jpg,Sanyu Stationery Shop,10.0,638.0572991371155
299,X51007339161.jpg,Sanyu Stationery Shop,,639.578450679779
300,X51007339163.jpg,Sanyu Stationery Shop,10.89,641.7334501743317
301,X51007339638.jpg,Aik Huat Hardware Enterprise (Setia Alam),12.0,643.8614783287048
302,X51007391390.jpg,Super Ninety Nine Sdn.Bhd.,3.0,645.7659289836884
303,X51007433809.jpg,STARIKAT KAM LAM SEUNG SDN BHD,190.0,648.4012331962585
304,X51007579714.jpg,Nasi Kandar Pelita,1.0,650.2771039009094
305,X51007579719.jpg,,,654.9701609611511
306,X51007579725.jpg,THONG RECIPE,58.7,656.6853504180908
307,X51007846266.jpg,[name],,658.5543608665466
308,X51007846268.jpg,[name],,660.392566204071
309,X51007846282.jpg,TAKE AMAY,,662.6194536685944
310,X51007846283.jpg,AION CO.,,667.8701889514923
311,X51007846288.jpg,Unihakka International SDN BHD,,670.5219438076019
312,X51007846289.jpg,TAKE AWAY,1.0,675.850282907486
313,X51007846290.jpg,[name],,677.7293047904968
314,X51007846303.jpg,UNIHARMA INTERNATIONAL SDN BHD,,680.3626008033752
315,X51007846304.jpg,[name],,682.2540349960327
316,X51007846310.jpg,MOODLIGHT CAKE HOUSE,,687.5329525470734
317,X51007846321.jpg,CHEF HENRY KBS HOUSE,14.0,690.2287538051605
318,X51007846355.jpg,Aeon,2.0,692.5132071971893
319,X51007846358.jpg,Old Town White Coffee,29.0,694.8745756149292
320,X51007846360.jpg,DUNO HOKES,,700.210312128067
321,X51007846361.jpg,118 MJ Mookata House,102.4,703.1032857894897
322,X51007846371.jpg,Unihakka International SDN BHD,,705.7934682369232
323,X51007846372.jpg,UNIHANNA INTERNATIONAL SDN BHD,,708.5477175712585
324,X51007846379.jpg,AEON,2.0,711.0522389411926
325,X51007846387.jpg,BOOK TALK (MUTIARA RINJ) SDN BHD,,714.2004630565643
326,X51007846392.jpg,[name],,716.0692813396454
327,X51007846396.jpg,Gerbang Alfat Restaurants,0.0,718.3460397720337
328,X51007846397.jpg,[name],,720.2402653694153
329,X51007846400.jpg,NAM SAN SEOUL KOREAN BBQ,152.9,723.1584331989288
330,X51007846403.jpg,,,728.5008084774017
331,X51008030561.jpg,Restoran Nan Sheng,17.6,730.235429763794
332,X51008030563.jpg,RESTORAN WAN SHENG,6.0,731.9465544223785
333,X51008042779.jpg,Restoran Wan Sheng,7.6,733.5409984588623
334,X51008042780.jpg,Restoran Wan Sheng,7.2,735.1182415485382
335,X51008042781.jpg,RESTORAN MAN SHENG,1.79,736.7988684177399
336,X51008042786.jpg,Gerbang Alaf Restaurants Sdn Bhd,184.0,738.6653909683228
337,X51008042787.jpg,Fish Farm Thai Restaurant,412.9,740.3557682037354
338,X51008099047.jpg,,,745.0635306835175
339,X51008099086.jpg,,,749.742849111557
340,X51008099088.jpg,,,754.4145493507385
341,X51008099090.jpg,,,759.0762732028961
342,X51008099100.jpg,Papparich,46.89,760.7076170444489
343,X51009008095.jpg,Boon Seng Paper SDN BHD,31.8,762.8046364784241
344,X51009447842.jpg,Pasaraya Borong Pintar SDN BHD,0.9,765.0766973495483
345,X51009453729.jpg,Lian Hing Stationery SDN BHD,79.5,767.2526009082794
346,X51009568881.jpg,Hon Hwa Hardware Trading,10.4,768.986998796463
347,X00016469612.jpg,Tan Woon Yann,9.0,770.557938337326
348,X00016469619.jpg,INDIAN GIFT & HOME DEC,10.0,772.5409560203552
349,X00016469620.jpg,Tan Woon Yann,33.92,774.2111022472382
350,X00016469622.jpg,YONGFATT ENTERPRISE,100.0,776.1308178901672
351,X00016469623.jpg,Tan Woon Yann,30.9,777.7972609996796
352,X00016469669.jpg,,31.0,779.4210729598999
353,X00016469672.jpg,Soon Huat Machinery Enterprise,327.0,781.1560134887695
354,X00016469676.jpg,S.H.H. Motor (Sungai Rengit) SDN. BHD.,20.0,784.0032439231873
355,X51005200938.jpg,[name],,785.1976990699768
356,X51005230617.jpg,Golden Arches Restaurants Sdn bhd,10.0,787.2003383636475
357,X51005255805.jpg,Sam Trading Co.,,788.8225224018097
358,X51005268200.jpg,AKK HUST HARDWARE ENTERPRISE (SEITA ALAM),15.0,791.2804050445557
359,X51005268262.jpg,Home Master Hardware & Electrical,15.9,793.0266880989075
360,X51005268400.jpg,Restoran Hassan Bistro,15.0,794.7297339439392
361,X51005268472.jpg,Asia Mart,32.69,796.1410727500916
362,X51005301659.jpg,Home Master Hardware & Electrical,15.9,797.8363971710205
363,X51005301661.jpg,LIGHTROOM GALLERY SDN BHD,68.87,799.7879836559296
364,X51005301667.jpg,LIGHTROOM GALLERY,,801.5125753879547
365,X51005303661.jpg,LIGHTROOM GALLERY SDN BHD,68.87,803.5065457820892
366,X51005306399.jpg,Shell ISNI PETRO TRADING,66.0,805.3751449584961
367,X51005337872.jpg,SYL Roasted Delights Sdn. Bhd.,54.5,807.6163675785065
368,X51005361883.jpg,Ted Heng Stationery & Books,4.9,809.41699385643
369,X51005361895.jpg,FUYI MINI MARKET,9.0,811.223310470581
370,X51005361897.jpg,,,814.4544014930725
371,X51005361898.jpg,[name],,815.7988181114197
372,X51005361900.jpg,TED HEND STATIONERY & BOOKS,16.0,817.9560160636902
373,X51005361907.jpg,TED HENG STATIONERY & BOOKS,144.0,820.1173133850098
374,X51005361946.jpg,[name],,821.3702991008759
375,X51005361950.jpg,99 Speed Mart S/B,,823.2527425289154
376,X51005365179.jpg,C W Khoo Hardware Sdn Bhd,21.2,825.2453298568726
377,X51005433492.jpg,LINHAIKA INTERNATIONAL SDN BHD,5.5,827.1971852779388
378,X51005433494.jpg,Aeon Permas Jaya,75.0,828.9723184108734
379,X51005433514.jpg,UNIHARMA INTERNATIONAL SDN BHD,11.1,831.0099747180939
380,X51005433522.jpg,[name],,832.2417953014374
381,X51005433533.jpg,PERNIAGAAN ZHENG HUI,315.5,834.5162708759308
